description	filename	checksum
umich-lscc-acetylproteomics	umich-lscc-acetylproteomics-abundance_single-site_MD.tsv.gz	4e6e41652d85d9bbe6b14a4cfb7275e7
umich-lscc-mapping	umich-lscc-mapping-aliquot_to_patient_ID.tsv.gz	0ae287c0d8f98a7b2c25354720f17525
umich-lscc-phosphoproteomics	umich-lscc-phosphoproteomics-Report_abundance_groupby=multi-site_protNorm=MD_gu=2.tsv.gz	477a38b31ce9394213281f24f7e6abdd
umich-lscc-proteomics	umich-lscc-proteomics-Report_abundance_groupby=protein_protNorm=MD_gu=2.tsv.gz	4d152abdd8845b1ecc9dc5ae14a38d92
umich-luad-acetylproteomics	umich-luad-acetylproteomics-abundance_multi-site_MD.tsv.gz	7f13759e47efe2670a372fe4dae9138e
umich-luad-acetylproteomics	umich-luad-acetylproteomics-abundance_single-site_MD.tsv.gz	8fc0de015508cc4c69cc190dde443b4c
umich-luad-mapping	umich-luad-mapping-aliquot_to_patient_ID.tsv.gz	095cbbcf1a2886d58d00fa8d20b9b77b
umich-luad-phosphoproteomics	umich-luad-phosphoproteomics-Report_abundance_groupby=multi-site_protNorm=MD_gu=2.tsv.gz	19bb3f93a0ed263ebb4f3ab40edfde64
umich-luad-proteomics	umich-luad-proteomics-Report_abundance_groupby=protein_protNorm=MD_gu=2.tsv.gz	5a545509bfba0029168949a2865ee472
umich-ov-mapping	umich-ov-mapping-OV_sample_TMT_annotation_UMich_GENCODE34_0315.csv.gz	2fa67f9ebf80edd29bc2f0b79aec48a4
umich-ov-proteomics	umich-ov-proteomics-Report_abundance_groupby=protein_protNorm=MD_gu=2.tsv.gz	7205e494f5726d47e095e392634bd15b
umich-pdac-mapping	umich-pdac-mapping-aliquot_to_patient_ID.tsv.gz	b013fad4a8f9fa26aa3915c0ef636754
umich-pdac-phosphoproteomics	umich-pdac-phosphoproteomics-Report_abundance_groupby=multi-site_protNorm=MD_gu=2.tsv.gz	7f8a56a443a4f032730bb667b99b59fa
