repeat,fold,feature_set,n_features,n_train,n_test,average_precision,matthews_corrcoef,balanced_accuracy,f1
2,2,multi_ptm,91692,85,21,0.4269670688788336,0.11322770341445958,0.5555555555555556,0.47058823529411764
2,3,multi_ptm,91692,85,21,0.46761202033260857,0.023124864503144014,0.5090909090909091,0.2857142857142857
2,4,multi_ptm,91692,85,21,0.4363295654962322,-0.08492077756084468,0.45833333333333337,0.35294117647058826
3,0,phosphoproteome,72361,84,22,0.6227133977133976,0.16035674514745463,0.575,0.47058823529411764
3,1,phosphoproteome,72361,85,21,0.6584967320261438,0.03015113445777636,0.5136363636363637,0.375
3,2,phosphoproteome,72361,85,21,0.5152625324451949,0.11322770341445958,0.5555555555555556,0.47058823529411764
3,3,phosphoproteome,72361,85,21,0.7162930563588458,0.4300756154038903,0.7090909090909091,0.6666666666666666
3,4,phosphoproteome,72361,85,21,0.441917975767305,-0.08492077756084468,0.45833333333333337,0.35294117647058826
3,0,multi_ptm,91692,84,22,0.49534821903242954,-0.035634832254989916,0.4833333333333333,0.35294117647058826
3,1,multi_ptm,91692,85,21,0.5566666666666666,-0.06741998624632421,0.46818181818181814,0.35294117647058826
3,2,multi_ptm,91692,85,21,0.5407333693711402,0.0,0.5,0.375
3,3,multi_ptm,91692,85,21,0.5926340326340326,-0.14545454545454545,0.42727272727272725,0.4
3,4,multi_ptm,91692,85,21,0.4476071767738435,0.0,0.5,0.375
4,0,phosphoproteome,72361,85,21,0.37768230890005916,-0.12171612389003691,0.4444444444444444,0.26666666666666666
4,1,phosphoproteome,72361,84,22,0.5041702741702742,0.06900655593423542,0.5333333333333333,0.4444444444444444
4,2,phosphoproteome,72361,85,21,0.5925008376556363,-0.05504818825631803,0.4727272727272727,0.42105263157894735
4,3,phosphoproteome,72361,85,21,0.4335196391156143,-0.3302891295379082,0.33636363636363636,0.36363636363636365
4,4,phosphoproteome,72361,85,21,0.5910880389724559,-0.09128709291752768,0.4583333333333333,0.5
4,0,multi_ptm,91692,85,21,0.6171125228400771,0.0700140042014005,0.5277777777777778,0.3076923076923077
4,1,multi_ptm,91692,84,22,0.5222846108140226,0.26666666666666666,0.6333333333333333,0.6
4,2,multi_ptm,91692,85,21,0.5308574320416426,0.2337367475021143,0.6136363636363636,0.5555555555555556
4,3,multi_ptm,91692,85,21,0.4188767819727572,-0.3302891295379082,0.33636363636363636,0.36363636363636365
4,4,multi_ptm,91692,85,21,0.564085914085914,0.16666666666666666,0.5833333333333333,0.5714285714285714
5,0,phosphoproteome,72361,84,22,0.45985076327181584,-0.18257418583505536,0.4083333333333333,0.38095238095238093
5,1,phosphoproteome,72361,85,21,0.4887154569430111,0.11322770341445958,0.5555555555555556,0.47058823529411764
5,2,phosphoproteome,72361,85,21,0.5924458874458874,0.23636363636363636,0.6181818181818182,0.6
5,3,phosphoproteome,72361,85,21,0.4438976228449913,-0.12171612389003691,0.4444444444444444,0.26666666666666666
5,4,phosphoproteome,72361,85,21,0.5001206636500755,-0.05504818825631803,0.4727272727272727,0.42105263157894735
5,0,multi_ptm,91692,84,22,0.45564104110543735,-0.23162640965743445,0.3916666666666667,0.23529411764705882
5,1,multi_ptm,91692,85,21,0.5206131912272263,-0.05504818825631803,0.4722222222222222,0.42105263157894735
5,2,multi_ptm,91692,85,21,0.6730154486036838,0.35527985620321373,0.6727272727272727,0.6956521739130435
5,3,multi_ptm,91692,85,21,0.4296989502871856,-0.17503501050350123,0.4305555555555556,0.15384615384615385
5,4,multi_ptm,91692,85,21,0.42754213407851177,-0.3919647479510927,0.3227272727272727,0.125
6,0,phosphoproteome,72361,84,22,0.6733424470266575,0.3563483225498992,0.6666666666666667,0.5882352941176471
6,1,phosphoproteome,72361,85,21,0.48986291486291483,0.03739787960033829,0.5181818181818182,0.4444444444444444
6,2,phosphoproteome,72361,85,21,0.4450080864554549,0.027777777777777776,0.5138888888888888,0.4444444444444444
6,3,phosphoproteome,72361,85,21,0.3821035990153637,-0.26967994498529685,0.3727272727272727,0.23529411764705882
6,4,phosphoproteome,72361,85,21,0.5110876777543444,0.09128709291752768,0.5416666666666666,0.4
6,0,multi_ptm,91692,84,22,0.6613311688311687,0.16878989451394444,0.5833333333333333,0.5263157894736842
6,1,multi_ptm,91692,85,21,0.5867474244022232,0.13483997249264842,0.5636363636363637,0.47058823529411764
