repeat,fold,model,n_features,n_train,n_test,average_precision,matthews_corrcoef,balanced_accuracy,f1
2,4,pca_logistic,64,85,21,0.3308471499260973,-0.3347193406976015,0.3472222222222222,0.13333333333333333
2,4,frozen_encoder_logistic,64,85,21,0.3678599350425976,-0.28306925853614895,0.3611111111111111,0.23529411764705882
3,0,raw_logistic,43647,84,22,0.5730809030151135,-0.016878989451394443,0.4916666666666667,0.42105263157894735
3,0,pca_logistic,64,84,22,0.5150437144554791,-0.12076147288491199,0.44166666666666665,0.3333333333333333
3,0,frozen_encoder_logistic,64,84,22,0.48440740331220206,0.1,0.55,0.5454545454545454
3,1,raw_logistic,43647,85,21,0.47217703349282303,-0.05504818825631803,0.4727272727272727,0.42105263157894735
3,1,pca_logistic,64,85,21,0.39953560844040725,-0.14545454545454545,0.42727272727272725,0.4
3,1,frozen_encoder_logistic,64,85,21,0.5519179075138827,0.14545454545454545,0.5727272727272728,0.5714285714285714
3,2,raw_logistic,43647,85,21,0.5174447556800499,0.11322770341445958,0.5555555555555556,0.47058823529411764
3,2,pca_logistic,64,85,21,0.532073238652186,-0.12171612389003691,0.4444444444444444,0.26666666666666666
3,2,frozen_encoder_logistic,64,85,21,0.4197103822103822,0.027777777777777776,0.5138888888888888,0.4444444444444444
3,3,raw_logistic,43647,85,21,0.5919017094017094,0.03739787960033829,0.5181818181818182,0.4444444444444444
3,3,pca_logistic,64,85,21,0.447285636190435,-0.14545454545454545,0.42727272727272725,0.4
3,3,frozen_encoder_logistic,64,85,21,0.5839911477411477,-0.03739787960033829,0.4818181818181818,0.5217391304347826
3,4,raw_logistic,43647,85,21,0.47539375924308847,0.09128709291752768,0.5416666666666666,0.4
3,4,pca_logistic,64,85,21,0.6021604938271605,0.2041241452319315,0.5972222222222222,0.5
3,4,frozen_encoder_logistic,64,85,21,0.4894806460595934,0.027777777777777776,0.5138888888888888,0.4444444444444444
4,0,raw_logistic,43647,85,21,0.5469542802876136,0.09128709291752768,0.5416666666666666,0.4
4,0,pca_logistic,64,85,21,0.5889793929267613,0.31137618438976383,0.6527777777777778,0.5882352941176471
4,0,frozen_encoder_logistic,64,85,21,0.4197598869425495,0.0,0.5,0.375
4,1,raw_logistic,43647,84,22,0.592750626566416,0.25877458475338283,0.625,0.5555555555555556
4,1,pca_logistic,64,84,22,0.48055111039631165,-0.016878989451394443,0.4916666666666667,0.42105263157894735
4,1,frozen_encoder_logistic,64,84,22,0.5447243107769424,0.1,0.55,0.5454545454545454
4,2,raw_logistic,43647,85,21,0.500203081232493,-0.1589409883014377,0.42272727272727273,0.3333333333333333
4,2,pca_logistic,64,85,21,0.5549477861319966,-0.18090680674665818,0.4181818181818182,0.25
4,2,frozen_encoder_logistic,64,85,21,0.4262802037144142,-0.05504818825631803,0.4727272727272727,0.42105263157894735
4,3,raw_logistic,43647,85,21,0.49644374416433246,-0.337099931231621,0.34090909090909094,0.4166666666666667
4,3,pca_logistic,64,85,21,0.44774073664553543,-0.337099931231621,0.34090909090909094,0.4166666666666667
4,3,frozen_encoder_logistic,64,85,21,0.39554428114025636,-0.45226701686664544,0.29545454545454547,0.4
4,4,raw_logistic,43647,85,21,0.3713254395529937,-0.13762047064079508,0.4305555555555556,0.4
4,4,pca_logistic,64,85,21,0.37704282492724184,-0.05504818825631803,0.4722222222222222,0.42105263157894735
