pretrain_sample_id,cohort,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63
LSCC:C3L-02349,LSCC,-12.878159,27.348469,6.949838,-4.6316185,-16.059986,-16.001163,-4.3283186,-3.3566387,-0.58839464,-19.032286,13.000095,-15.541778,17.8612,23.188196,-5.968675,4.53822,-35.083202,-12.15422,-4.6275992,31.276432,-0.83106923,4.4069633,-8.604743,-21.492716,-3.0334587,-15.329274,-28.02874,-5.557031,-6.4815774,11.593554,3.1430178,-15.896857,-9.332171,-13.21409,17.260057,0.533961,-22.18142,-3.7533634,8.147352,12.4190445,3.973966,-27.672026,-21.953178,-15.522088,-15.40516,-3.7988439,8.033855,-7.876769,-12.729646,-14.473588,-0.011661176,3.9900327,27.5791,-3.3093874,10.761801,-5.3901463,29.928223,7.2645936,-29.712194,-9.418937,0.53279626,30.973913,-15.735236,-3.3102229
LSCC:C3L-02358,LSCC,31.041735,-1.167476,13.398957,-13.475307,-43.26163,7.141445,22.131475,29.007307,-12.870769,10.289628,38.227016,1.1122146,2.0619016,19.635435,-21.181213,0.65896356,-30.142271,-0.3495742,-0.9374988,35.550556,4.955763,5.306325,-8.741656,1.1258634,2.928028,10.578434,-30.183727,5.5665307,5.638394,-20.738651,2.235626,-13.278971,-6.2809176,-8.756413,-3.1110337,44.84583,-37.55899,-22.475212,9.919373,-11.029303,-24.062641,-18.74165,-51.5354,-14.681268,-1.0531298,3.5169878,-4.5306063,5.843992,39.069626,3.3373601,7.344835,-3.4110565,10.849772,-22.824028,1.0757151,6.1008387,5.827612,-1.2408613,-24.152521,0.9760773,-23.543356,33.125923,-13.427257,-5.1459465
LSCC:C3L-02546,LSCC,5.802332,9.542719,17.582798,-6.7927794,-17.571651,2.4198036,-5.5926805,13.797133,-17.194418,-3.9676838,18.644312,-1.9841294,21.925665,8.333303,2.3660386,10.252722,-38.567863,0.37225378,7.0296063,21.877914,-10.386271,0.7364116,-1.9533088,-18.638042,6.7649527,-4.1839886,-53.7112,9.704559,-2.9549587,-5.9143953,-4.083325,-14.746115,-10.771347,-22.497225,0.78656375,28.93127,-1.1897956,-28.958992,-9.016563,-13.349613,-15.462795,-0.6197355,-34.85415,-14.40806,-12.350531,-5.8708887,-1.5100633,-2.31553,27.156305,-20.506279,-8.412754,-23.07561,4.387669,-17.22959,-7.370746,-1.6393156,11.936123,-9.897615,-21.680387,11.856396,-2.354284,19.037899,-12.360037,2.1052828
LSCC:C3L-02552,LSCC,13.398824,38.145363,9.639155,12.378478,-10.013482,-0.07394706,-18.02165,4.8517747,-16.93943,-4.9558086,12.487286,-4.2936473,18.374676,6.14502,-15.745486,0.25926837,-42.81459,24.777172,-9.8881855,14.078492,-2.300966,13.130565,-11.799901,-13.526264,7.185458,1.8136084,-31.930017,-24.230183,7.917534,3.4599392,7.1088147,-5.2446547,9.346722,-1.7301052,18.720564,2.2390733,-12.577585,-18.549717,-12.705782,-12.982311,-10.586493,-25.067722,-20.339478,-5.45453,-7.458294,-4.6440253,0.069167376,7.7541513,14.940464,-11.415248,-0.44124734,7.032285,0.25871107,-7.1382,-3.9369843,12.079759,14.573136,-9.1085415,-14.901036,-9.827778,4.2384667,25.058907,-9.476487,15.894161
LSCC:C3L-02619,LSCC,-0.82701147,34.153767,-8.514982,-6.9640255,-17.897146,-41.60675,-2.4943182,34.242294,-9.118212,-6.4860806,10.281403,19.286926,18.318655,9.567248,-6.117697,14.93758,-9.881355,17.1749,-19.069592,4.0993614,9.208061,-3.4004405,-9.1302595,-17.00499,-23.105371,-13.455473,-28.586374,-12.052026,-6.394237,3.070248,-31.517742,-15.40983,2.0616221,15.330138,-4.2692513,15.316539,-8.769722,-9.543804,-14.065697,11.270557,10.324546,-29.801386,-2.9415586,-26.051329,-16.827412,-17.306746,-4.8483562,-18.221243,-8.591948,-12.79821,-7.035095,-2.242776,-4.9384212,-20.437504,-1.608823,-7.598845,10.030683,-17.409855,-22.415377,6.2312927,-23.119814,18.205658,-9.042378,-8.66446
LSCC:C3L-02624,LSCC,3.0012243,-4.866561,-28.996246,6.7909975,-47.643772,13.613533,11.779379,3.607454,-33.375984,-13.344711,15.995138,15.274397,-31.567701,34.373314,2.4339755,25.799923,-81.46909,-18.290936,-30.663252,-5.7344794,16.768322,19.169617,-13.1674,18.626915,-41.41418,6.8474965,-32.369022,-49.836765,12.110283,9.15419,-8.58267,33.421192,12.067445,-17.866085,-10.151717,7.8375807,-30.826672,19.897669,38.323772,-18.50047,1.9566442,-19.560528,-40.500153,-69.65156,-10.905196,7.118728,-14.359719,-0.0054051913,25.481012,-45.18627,-14.039947,28.89742,1.7815504,-11.421436,4.452179,-19.170238,0.5509157,42.124058,4.852197,1.1756744,-10.370785,101.13637,-38.321922,34.475307
LSCC:C3L-02625,LSCC,-20.425465,25.708424,24.50261,-4.755228,-35.981503,-10.782132,-8.131537,19.937628,6.161024,11.188804,18.057062,10.472633,0.7417839,30.27318,-6.3343744,7.8183436,-33.991623,-29.579573,0.3822854,36.534233,5.298041,-0.023472555,-1.3798608,-29.86566,-5.9021354,-6.0356627,-15.121071,-9.440837,-20.034163,5.9800005,-12.498281,5.3025937,3.032366,-1.645697,16.193178,13.4284935,-6.770559,-9.643101,7.869534,-0.8912146,39.63972,1.6103148,-39.63728,-22.692122,3.8196008,-16.681171,24.059906,-7.77129,-7.115543,-13.562861,-1.44449,16.901125,0.18942507,-27.725288,-0.71143126,-15.056096,33.53347,-15.961426,-15.215814,-8.715358,-22.355482,26.877125,-13.656573,-21.88935
LSCC:C3L-02627,LSCC,2.647269,9.459672,0.2834125,-13.603891,-22.429407,-23.094774,32.38213,13.239824,-4.406122,20.211695,15.148164,25.088537,-5.38782,21.651918,-13.257344,5.0680513,-12.617127,-22.843727,3.1462562,20.781288,12.525223,-2.0277202,-11.347981,2.0784688,-8.935972,-11.453868,-33.1805,-1.3021584,-11.664307,1.9622862,-30.134308,-5.832593,6.4426274,17.386847,3.564916,30.69747,-27.477463,5.846812,14.713291,2.645448,20.974176,-39.788273,-29.166767,-39.427273,-9.6874075,-9.067548,11.013773,-8.749152,-3.9676566,-15.99637,6.8990426,23.065088,-11.065368,-17.061533,27.659607,-5.594751,22.315392,8.466339,-33.946373,9.079845,-13.848333,15.437378,-1.5380359,-14.796136
LSCC:C3L-02629,LSCC,16.475285,26.363585,30.048447,-0.24640948,-27.603752,-15.51767,-23.93921,27.523867,-25.363012,-5.3477764,14.501999,6.7846456,17.656261,9.317443,-13.687222,7.542944,-56.083454,12.48799,-4.7769585,36.74467,0.6899209,8.321287,-15.3426895,-14.395718,-18.015232,-2.5433595,-22.733437,2.4834085,-17.53216,-15.057609,6.9644194,3.3681011,-2.1423426,7.279099,8.279063,-0.38509208,-22.279669,5.5806155,-5.7477827,-4.173434,20.698523,-28.54664,-24.608294,-29.869383,-22.53065,-0.2670598,25.996828,-0.7622168,-5.115669,-9.670591,-6.977377,-1.1830196,14.495864,-4.8645277,-4.931967,-10.029152,39.053513,-3.1859725,-13.079673,-0.18531132,-12.320532,36.650047,0.3280485,-17.03936
LSCC:C3L-02646,LSCC,-19.290651,15.979472,14.638235,13.806048,-9.962404,-31.182384,-13.912005,36.03966,-16.53528,10.779402,-0.5582829,10.507367,3.6157782,8.925304,-0.7536059,34.666084,-12.8145,-13.451405,-11.492721,1.8648773,5.7351036,3.5642784,6.5942307,-8.374117,-3.3509433,-12.6939535,-47.095818,-17.221954,13.351707,-1.6672446,-13.463614,-10.462747,-18.692965,-17.949394,8.834232,11.619352,-6.1086116,1.2167561,17.219847,-2.9517958,19.773504,-18.035173,-48.5932,-20.20758,0.7337575,-10.75787,-0.12744078,1.7882545,5.9530087,-8.043569,-7.2,-4.650024,-7.310494,5.011547,9.633833,-12.286616,15.428211,0.5209178,-20.180235,9.159932,-25.862253,1.6496854,-21.426733,-8.245306
